HCPCS Code,Total Number of Services,Total Medicare Payment Amount,Total Number of Services: 2019,Total Medicare Payment Amount: 2019,Total Number of Services: 2018,Total Medicare Payment Amount: 2018,Total Number of Services: 2017,Total Medicare Payment Amount: 2017,Total Number of Services: 2016,Total Medicare Payment Amount: 2016,Total Number of Services: 2015,Total Medicare Payment Amount: 2015,Total Medicare Payment Amount: Slope,Total Medicare Payment Amount: Pearson Coef,Total Number of Services: Slope,Total Number of Services: Pearson Coef
31288,5031.0,2166667.44000548,274.0,167881.54999999,236.0,132215.78000146,1705.0,820141.39000391,1421.0,585987.4699994699,1395.0,460441.25000065,-3.1030660693563163e-06,-0.5677805642264906,-0.001765702281676864,-0.7778857062131052
31525,32640.0,4324807.639971714,9470.0,1268959.6600109504,7722.0,1022976.639990046,5299.0,700741.3699822569,5918.0,783501.649983953,4231.0,548628.3200045069,5.220186792695782e-06,0.9365165495037311,0.0007124233240041185,0.9354134521920552
31526,2110.0,204525.909999385,327.0,29723.889999973,427.0,44119.520000107,480.0,47429.810000391,369.0,34247.5699997,507.0,49005.119999214,-9.966937616470566e-05,-0.5347490283633423,-0.013453314326443335,-0.6374088896921573
31535,4688.0,935851.669999544,880.0,178249.539999967,925.0,175099.419999985,881.0,168478.11000016698,1039.0,232824.56999961002,963.0,181200.029999815,-2.361210280612047e-05,-0.38760117681704126,-0.015902585306011175,-0.6672873358369038
31536,5727.0,1320604.790000484,1190.0,278485.729999612,1138.0,268100.83000026,1071.0,235033.379999536,1093.0,252209.72999993598,1235.0,286775.12000114,-3.9903406199938983e-07,-0.005238394265859317,-0.002451888499008347,-0.10504046004058418
31541,7041.0,1766354.1099994,1349.0,343437.08999981,1439.0,364008.37999976,1301.0,318524.17000031,1317.0,311467.77999971,1635.0,428916.68999981,-1.3321747741215794e-05,-0.3971829197066852,-0.0059444550123644675,-0.5172044813769512
31571,9547.0,1783053.680001842,1859.0,329493.710000077,1987.0,402641.130000272,1695.0,319825.530001125,2112.0,394075.849999639,1894.0,337017.460000729,-1.0813048092643659e-06,-0.026474998888451846,-0.0020352101798082104,-0.19921495552859506
31575,307623.0,16598776.02999894,62112.0,3164731.949999025,59663.0,3007322.229999339,58140.0,2963951.90999947,58104.0,3367114.380000182,69604.0,4095655.560000924,-2.6060077673738274e-06,-0.7608948320586485,-0.00014553899530536407,-0.4420250006475327
31579,60509.0,5998496.160013294,15023.0,1418448.740003155,13064.0,1213382.400003554,10470.0,957141.660000992,9957.0,1080066.040005853,11995.0,1329457.31999974,2.255431512383282e-06,0.26497434318626506,0.0005475814778888834,0.7083423665075976
31622,9250.0,899461.240000009,1750.0,169167.539999914,1720.0,174191.339999961,1836.0,178972.390000416,1907.0,191174.399999543,2037.0,185955.570000175,-0.00016183233245145514,-0.9045496291696684,-0.011651407049024712,-0.9416326653375937
38510,1566.0,555987.62999952,349.0,112143.67999991,222.0,74247.77000029,339.0,113084.72000016,331.0,124915.19999968,325.0,131596.25999947998,-4.537563129895523e-05,-0.6375274753503397,-0.005689873890008208,-0.18630145122636613
42415,1624.0,1151738.89000086,253.0,183033.56000017,296.0,183520.10999995001,396.0,301095.6100006,406.0,287774.37999979,273.0,196315.23000035,-9.416249939049e-06,-0.35097169575208187,-0.007377968402620655,-0.33267029629846695
42826,12.0,6851.099999999999,0.0,0.0,0.0,0.0,12.0,6851.099999999999,0.0,0.0,0.0,0.0,1.2110430385604955e-20,2.3467394691249376e-17,-7.709882115452475e-18,-2.6168207644729584e-17
43191,4166.0,365159.319999796,887.0,93565.239999836,823.0,81217.549999962,770.0,68026.510000112,909.0,67967.409999973,777.0,54382.609999913,0.00010327261408643459,0.9726953196431706,0.00842936943284183,0.33608562956496746
43200,5260.0,326653.460000608,704.0,46478.670000188,897.0,63046.870000202005,1037.0,63212.100000148,1192.0,75608.990000102,1430.0,78306.829999968,-0.00011925406156482655,-0.9533812739964342,-0.005675062857736861,-0.9957075279652302
60220,1772.0,1136494.620000173,376.0,259174.37000076,386.0,258011.06999945999,394.0,242281.690000323,323.0,208492.39999996,293.0,168535.08999967002,3.852632675838851e-05,0.9429617965737356,0.02939968161043496,0.8205197797000148
60240,2878.0,2064149.24999973,459.0,324832.88999952003,457.0,325602.27000025,423.0,289389.14999978,793.0,564614.41999964,746.0,559710.52000054,-9.424821682080129e-06,-0.8173130644577543,-0.007151434373408609,-0.8067096925041768
60500,10544.0,8346019.1699982695,2644.0,2197618.100001,2272.0,1862490.7399963501,1798.0,1410847.33999852,1870.0,1408770.07000075,1960.0,1466292.92000165,3.8924670863827156e-06,0.8636788268534872,0.003620840329533292,0.8005552687525032
69433,5358.0,578678.960000327,1113.0,120424.959999596,1101.0,119417.249999697,987.0,105930.470000845,885.0,95794.520000005,1272.0,137111.760000184,-9.886592090096175e-06,-0.09818496536039914,-0.0012040342229021476,-0.11082034593702504
69436,20428.0,5880968.799997576,4032.0,1013430.979998345,4011.0,1045676.059999508,3889.0,989017.789998868,4125.0,1541750.790001124,4371.0,1291093.179999731,-4.6646906076721095e-06,-0.7003179025732597,-0.006087849513279506,-0.6943757494697931
69631,1204.0,1126824.52999957,274.0,258975.59999993,190.0,192457.48999952,290.0,249926.63000041,234.0,220079.14000044,216.0,205385.66999927,2.4532558383407036e-05,0.4417880070479699,0.01064333017975402,0.2768248133643893
69801,6694.0,594412.840000396,1106.0,99843.450000136,1357.0,117694.22000006499,1184.0,101842.109999951,1419.0,125889.280000208,1628.0,149143.780000036,-6.595942487846796e-05,-0.8392963880941071,-0.006561508506230467,-0.8518819406403036
69930,10899.0,32980620.87007325,2677.0,9406753.83000612,2587.0,8438188.15003866,2191.0,6277113.34001281,1818.0,4694007.58000282,1626.0,4164557.97001284,6.799740872841233e-07,0.9836188518051162,0.003374713836961474,0.9843171961271626
