,,HCPCS_Cd,HCPCS_Desc,HCPCS_Drug_Ind,Place_Of_Srvc,Tot_Benes,Tot_Srvcs,Tot_Bene_Day_Srvcs,Avg_Sbmtd_Chrg,Avg_Mdcr_Alowd_Amt,Avg_Mdcr_Pymt_Amt
2018,41,60240,Removal of thyroid,N,F,15,15,15,2173,853.60666667,680.11
2018,42,60240,Removal of thyroid,N,F,11,11,11,974,129.93,103.52
2018,43,60240,Removal of thyroid,N,F,11,11,11,2510,850.22545455,671.28
2018,44,60240,Removal of thyroid,N,F,14,14,14,4205,1003.6714286,799.66928571
2018,45,60240,Removal of thyroid,N,F,12,12,12,2702,876.11,698.04
2018,46,60240,Removal of thyroid,N,F,11,11,11,3999,829.72545455,664.99818182
2018,47,60240,Removal of thyroid,N,F,11,11,11,1798.0227273,884.34181818,691.34363636
2018,48,60240,Removal of thyroid,N,F,11,11,11,3002.1818182,933.74636364,743.96363636
2018,49,60240,Removal of thyroid,N,F,11,11,11,2796.9636364,840.74454545,669.86181818
2018,50,60240,Removal of thyroid,N,F,28,28,28,4500,128.91892857,103.39392857
2018,51,60240,Removal of thyroid,N,F,13,13,13,2855,110.45230769,88.000769231
2018,52,60240,Removal of thyroid,N,F,12,12,12,2562,781.62666667,620.18583333
2018,53,60240,Removal of thyroid,N,F,21,21,21,2013.2914286,910.11428571,712.76333333
2018,54,60240,Removal of thyroid,N,F,11,11,11,1900,843.66363636,670.06272727
2018,55,60240,Removal of thyroid,N,F,18,18,18,1820,831.4,662.41333333
2018,56,60240,Removal of thyroid,N,F,14,14,14,3319,839.69214286,669.025
2018,57,60240,Removal of thyroid,N,F,27,27,27,2107.4444444,868.70296296,686.31814815
2018,58,60240,Removal of thyroid,N,F,18,18,18,2845,914.75388889,722.46388889
2018,59,60240,Removal of thyroid,N,F,13,13,13,3069,829.27923077,655.26538462
2018,60,60240,Removal of thyroid,N,F,26,26,26,540.34615385,112.59807692,82.701538462
2018,61,60240,Removal of thyroid,N,F,12,12,12,1860,843.11333333,671.74416667
2018,62,60240,Removal of thyroid,N,F,12,12,12,2363,721.52166667,578.21416667
2018,63,60240,Removal of thyroid,N,F,17,17,17,3200,828.39117647,656.71470588
2018,64,60240,Removal of thyroid,N,F,12,12,12,2389,901.61666667,705.99333333
2018,65,60240,Removal of thyroid,N,F,11,11,11,2230,838.50181818,668.07727273
2018,66,60240,Removal of thyroid,N,F,17,17,17,5964.4264706,936.25529412,745.95647059
2018,67,60240,Removal of thyroid,N,F,16,16,16,3660,820.241875,653.345
2018,68,60240,Removal of thyroid,N,F,20,20,20,3041,966.119,769.1535
2018,69,60240,Removal of thyroid,N,F,14,14,14,45900,922.48,733.48
2018,70,60240,Removal of thyroid,N,F,28,28,28,2711,662.82464286,527.87
2018,71,60240,Removal of thyroid,N,F,19,19,19,2784.72,839.73315789,658.40421053
2018,72,60240,Removal of thyroid,N,F,12,12,12,7915,921.96416667,720.11416667
