FIPS,Total Number of Services,Total Medicare Payment Amount,Total Number of Services: 2019,Total Medicare Payment Amount: 2019,Total Number of Services: 2018,Total Medicare Payment Amount: 2018,Total Number of Services: 2017,Total Medicare Payment Amount: 2017,Total Number of Services: 2016,Total Medicare Payment Amount: 2016,Total Number of Services: 2015,Total Medicare Payment Amount: 2015,tot_ratio,% ASC Procedures: 2019,% ASC Billing: 2019,% ASC Procedures: 2018,% ASC Billing: 2018,% ASC Procedures: 2017,% ASC Billing: 2017,% ASC Procedures: 2016,% ASC Billing: 2016,% ASC Procedures: 2015,% ASC Billing: 2015,% ASC Procedures,% ASC Billing,Beneficiaries with Part A and Part B,Average Age,Percent Male,Percent Non-Hispanic White,Percent African American,Percent Hispanic,Percent Eligible for Medicaid,Average HCC Score,Hospital Readmission Rate,Emergency Department Visits per 1000 Beneficiaries,Procedures Per Capita Standardized Costs,Procedure Events Per 1000 Beneficiaries,metro,pct_poverty,median_house_income,pop,2013_Rural_urban_cont_code,Pct_wthout_high_diploma,Pct_wth_high_diploma,Pct_wth_some_coll,Pct_wth_coll_degree,unemployment,pct_uninsured,fibro,tabacco,obesity,migrane,Alzheimers,Depression,Alcohol Abuse,Drug Abuse,Schizo_othr_psych,COPD,Chronic Kidney Disease,Osteoporosis,Stroke,Diabetes,Asthma,Arthritis,Hypertension,Heart Failure,Ischemic Heart Disease,Population Density,Medicare Population Density,Moran I score for ACS billing fraction,County
06029,1489.0,723801.810002,228.0,133843.96,267.0,124425.430001,276.0,155554.2,290.0,158891.28,428.0,151086.94,39.0,87.280702,98.705029,67.790262,97.299828,88.043478,99.137079,83.103448,98.876678,49.299065,91.34548,72.196105,97.057764,105216.8,69.2,47.946,61.452,5.2,27.426,38.444,1.092,18.77,701.8,845.542,5534.8,1,21.0,51139.4,887640.6,2.0,25.9,27.8,29.9,16.4,9.2,8.94,20.6,9.0,18.4,2.8,8.62,15.12,2.625,3.8,3.24,13.82,24.16,5.04,3.8,33.96,6.6,33.3,57.68,16.76,32.4,109.155161,12.938747,High-High,Kern
06031,414.0,56156.67,42.0,15095.57,52.0,6345.57,34.0,12237.49,139.0,8092.01,147.0,14386.03,14.996191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15510.0,71.0,46.25,54.098,4.056,35.916,34.502,1.034,19.608,739.2,684.294,5378.2,1,18.6,53677.6,150690.8,3.0,26.6,25.3,33.4,14.7,9.1,8.82,17.4,7.4,20.4,3.0,9.44,13.74,1.775,2.85,2.9,10.02,24.88,5.76,4.06,33.5,6.5,29.8,60.9,20.22,31.78,108.455902,11.162931,Low-High,Kings
13067,1525.0,777094.38,334.0,159366.86,297.0,137014.79,330.0,181585.16,330.0,179277.21,234.0,119850.36,50.958881,56.886228,70.345823,56.902357,70.187613,75.757576,79.018445,82.727273,85.777066,45.299145,51.543875,64.786885,73.004692,89498.2,72.2,43.638,78.492,14.034,2.778,10.448,0.952,17.722,583.6,738.128,5643.2,1,9.66,74951.4,751218.0,1.0,7.9,18.5,26.2,47.4,4.12,14.18,18.0,6.8,14.8,3.4,11.34,15.38,1.775,2.8,2.32,8.4,22.76,6.02,3.92,23.14,4.78,30.44,55.64,11.76,25.48,2212.399389,263.579631,Non Significant,Cobb
13069,328.0,84324.08,99.0,25175.27,89.0,15011.73,69.0,20860.92,0.0,0.0,71.0,23276.16,17.0,82.828283,93.503386,59.550562,75.48124,49.275362,68.460739,0.0,0.0,57.746479,72.56923,64.02439,78.32121,6833.0,69.0,45.956,77.458,19.226,1.862,29.55,1.118,23.204,930.8,811.916,4921.2,0,22.92,38808.4,43020.6,7.0,24.3,37.2,25.5,13.0,5.28,19.66,23.8,13.2,19.4,3.0,10.42,15.78,2.3,7.9,3.26,19.3,26.4,5.32,3.64,31.84,4.32,38.94,71.14,22.32,33.32,74.805815,11.881474,Non Significant,Coffee
13073,1244.0,567928.62,363.0,175024.87,242.0,116249.33,232.0,100567.63,120.0,63676.73,287.0,112410.06,50.240364,71.625344,89.360146,79.752066,95.009047,85.775862,91.079486,87.5,97.377315,60.278746,76.773351,74.758842,89.228467,20144.6,72.0,45.966,80.522,11.798,2.046,8.742,0.888,16.552,469.6,703.798,4889.0,1,7.16,79288.2,150705.4,2.0,7.3,23.8,32.6,36.4,4.12,10.92,18.0,7.0,22.0,2.6,9.88,16.24,1.525,1.6,2.36,10.44,22.32,5.36,3.18,26.06,4.12,30.74,55.46,10.66,23.44,519.512565,69.442587,High-High,Columbia
13077,56.0,22526.93,41.0,7653.56,0.0,0.0,15.0,14873.37,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,26.785714,66.024842,20542.8,71.2,45.08,81.926,14.018,1.644,13.064,0.954,17.674,670.4,718.522,5237.8,1,10.08,72376.8,143260.4,1.0,10.8,28.6,30.3,30.3,4.22,12.6,21.2,8.4,17.0,4.0,10.0,17.7,1.675,3.225,2.2,9.96,22.18,5.66,4.16,26.08,4.9,31.7,58.94,11.76,25.6,324.93309,46.593724,Non Significant,Coweta
13095,429.0,30894.74,30.0,2787.34,72.0,5326.42,148.0,9613.16,80.0,5650.06,99.0,7517.76,16.50699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16354.4,70.2,44.902,52.376,45.296,0.69,25.794,1.12,19.35,684.0,633.82,4842.0,1,29.04,36648.6,89703.0,3.0,16.6,30.2,31.8,21.4,6.22,16.02,17.8,11.2,22.6,4.4,11.72,18.62,2.375,2.2,3.9,13.06,25.9,7.44,4.88,30.5,5.88,36.62,67.46,13.04,19.06,272.911476,49.756457,Non Significant,Dougherty
13115,549.0,164520.140001,214.0,83036.130001,92.0,18028.66,97.0,27981.48,82.0,21342.57,64.0,14131.3,32.962695,47.663551,75.023956,18.478261,30.418678,22.680412,54.944127,23.170732,46.215053,0.0,0.0,29.143898,56.539418,19456.6,70.4,45.626,87.228,9.658,1.58,22.86,1.052,18.604,896.2,666.812,5151.4,1,18.34,45833.8,97369.2,3.0,17.6,34.3,27.2,20.9,5.32,17.4,25.0,14.4,24.8,4.2,11.5,23.5,2.4,4.175,3.88,14.42,30.74,5.12,3.84,29.2,4.06,38.84,67.52,20.28,31.94,190.953323,38.156855,Non Significant,Floyd
08069,1433.0,272952.7,171.0,50741.42,60.0,22401.65,134.0,49177.73,197.0,87410.58,871.0,63221.32,47.873688,47.953216,68.059782,58.333333,91.873813,55.970149,68.676858,62.436548,76.861897,1.607348,12.220514,22.958828,60.010716,53967.2,72.0,45.264,92.02,0.384,3.948,12.506,0.826,14.34,562.0,667.49,5701.4,1,11.04,69515.4,344786.0,2.0,4.1,19.0,29.6,47.3,2.62,7.3,20.2,5.4,10.8,3.0,8.64,17.12,1.65,3.1,1.76,7.92,16.08,5.56,2.84,16.08,4.42,30.58,41.08,9.52,19.12,132.814227,20.788582,Non Significant,Larimer
12089,350.0,78118.51,118.0,27698.84,111.0,23859.51,0.0,0.0,0.0,0.0,121.0,26560.16,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19222.2,72.2,47.064,91.954,4.15,1.202,10.308,0.928,16.15,610.2,921.544,5872.6,1,9.92,66796.0,83098.4,1.0,8.7,31.7,30.0,29.6,4.0,11.9,22.8,7.4,19.0,2.8,9.4,16.44,2.575,2.4,2.18,11.66,21.44,5.08,4.18,25.4,4.86,39.08,61.28,11.88,29.42,128.111939,29.634666,Non Significant,Nassau
